ID,Name,StreetAddress,City,State,ZipCode,HospitalReferralRegion,County,PhoneNumber
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE",DOTHAN,AL,36301,"AL - Dothan",HOUSTON,3347938701
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH",BOAZ,AL,35957,"AL - Birmingham",MARSHALL,2565938310
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET",FLORENCE,AL,35631,"AL - Birmingham",LAUDERDALE,2567688400
10011,"ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,35235,"AL - Birmingham",JEFFERSON,2058383122
10016,"SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH",ALABASTER,AL,35007,"AL - Birmingham",SHELBY,2056208100
10023,"BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,36116,"AL - Montgomery",MONTGOMERY,3342882100
10029,"EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY",OPELIKA,AL,36801,"AL - Birmingham",LEE,3347493411
10033,"UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET",BIRMINGHAM,AL,35233,"AL - Birmingham",JEFFERSON,2059344011
10035,"CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157",CULLMAN,AL,35058,"AL - Birmingham",CULLMAN,2567372000
10039,"HUNTSVILLE HOSPITAL","101 SIVLEY RD",HUNTSVILLE,AL,35801,"AL - Huntsville",MADISON,2562651000
10040,"GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE",GADSDEN,AL,35903,"AL - Birmingham",ETOWAH,2564944000
10055,"FLOWERS HOSPITAL","4370 WEST MAIN STREET",DOTHAN,AL,36305,"AL - Dothan",HOUSTON,3347935000
10056,"ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE",BIRMINGHAM,AL,35205,"AL - Birmingham",JEFFERSON,2059397000
10078,"NORTHEAST ALABAMA REGIONAL MED CENTER","400 EAST 10TH STREET",ANNISTON,AL,36207,"AL - Birmingham",CALHOUN,2562355121
10085,"DECATUR GENERAL HOSPITAL","1201 7TH STREET SE",DECATUR,AL,35609,"AL - Huntsville",MORGAN,2563412000
10090,"PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD",MOBILE,AL,36608,"AL - Mobile",MOBILE,2516331000
