ID,APCID,ProviderID,OutpatientServices,AverageSubmittedCharges,AverageTotalPayments,Year
1,12,20024,1053,161.5887749,33.59421652,2012
2,12,30064,2329,51.90725633,13.08148132,2012
3,12,30088,31,119.1,21.87322581,2012
4,12,40014,352,18.18579545,13.5984375,2012
5,12,40016,3314,58.89806578,12.3358962,2012
6,12,40017,19,49.43578947,13.56631579,2012
7,12,40055,64,93.651875,12.23453125,2012
8,12,40119,23,115.8543478,22.35304348,2012
9,12,50017,23,39.65217391,26.89652174,2012
10,12,50025,426,54.80305164,15.19462441,2012
11,12,50038,732,246.3385246,26.89464481,2012
12,12,50179,37,48.99702703,15.58837838,2012
13,12,50254,283,33.76678445,16.5645583,2012
14,12,50262,6017,71.1181652,15.20201928,2012
15,12,50280,19,53.78947368,17.44157895,2012
16,12,50335,898,37.98634744,16.90038976,2012
17,12,50348,601,68.10981697,15.25630616,2012
18,12,50367,20,60.09,17.9,2012
19,12,50434,229,97.99126638,16.22951965,2012
20,12,50441,896,158.8783482,18.85381696,2012
21,12,50454,2728,129.1092375,18.15462977,2012
22,12,50457,23,127.6521739,17.98956522,2012
23,12,50573,1673,34.35466826,15.991315,2012
24,12,50580,59,223.55,16.98033898,2012
25,12,50599,6134,54.07841539,16.28132866,2012
26,12,50688,22,356,26.50636364,2012
27,12,50696,57,143.1389474,22.24105263,2012
28,12,60001,18,98.3,26.91944444,2012
29,12,60011,54,53.94,13.93537037,2012
30,12,60015,85,49.70294118,13.93564706,2012
31,12,60024,5496,84.10492176,13.90553493,2012
32,12,60027,38,20.60526316,14.20026316,2012
33,12,60031,1373,96.89728332,26.75924253,2012
34,12,60104,39,77.65769231,14.65,2012
35,12,70011,20,117.814,16.7565,2012
36,12,70036,5246,56.14372856,16.37287648,2012
37,12,70039,837,46.84103943,24.54666667,2012
38,12,90011,270,62.0592963,13.48414815,2012
39,12,100012,13,477.1630769,18.94307692,2012
40,12,100022,486,84.28703704,13.73061728,2012
41,12,100023,16,82.47125,12.77375,2012
42,12,100025,1084,15.50208487,12.25157749,2012
43,12,100046,19,29,12.77263158,2012
44,12,100118,63,31.3015873,12.4115873,2012
45,12,100128,18,86,17.02777778,2012
46,12,100154,11,291.4727273,23.55272727,2012
47,12,100204,39,232.7294872,13.52538462,2012
48,12,100217,68,244.1877941,19.45161765,2012
49,12,100254,31,125.3667742,13.6816129,2012
50,12,100292,451,15.41,12.29521064,2012
51,12,110034,325,56.79076923,13.34138462,2012
52,12,110035,55,254.5818182,20.57690909,2012
53,12,110079,456,127.0956798,23.45807018,2012
54,12,110122,14,121.0357143,18.33,2012
55,12,110205,22,15.23181818,12.60363636,2012
56,12,110229,28,146.1785714,15.36285714,2012
57,12,120022,1039,47.20404235,14.81947064,2012
58,12,130006,221,15.35746606,13.04497738,2012
59,12,130007,101,23.54455446,13.1809901,2012
60,12,130014,18,14.66666667,12.92722222,2012
61,12,140010,1983,118.7291982,14.04114473,2012
62,12,140043,3898,49.52693689,12.8847845,2012
63,12,140088,1820,125,13.91822527,2012
64,12,140091,31,120,14.19677419,2012
65,12,140119,853,75.96717468,13.85940211,2012
66,12,140150,89,76.37764045,13.92292135,2012
67,12,140185,28,758.8432143,12.78071429,2012
68,12,140276,2639,75.0077302,14.30186055,2012
69,12,150003,18,48.77777778,13.75944444,2012
70,12,150024,466,139.4120172,14.15128755,2012
71,12,160057,21,185.1428571,13.31761905,2012
72,12,160058,1199,233.1542952,13.8393995,2012
73,12,160064,11225,31.55011136,13.93013274,2012
74,12,160124,18,30.54,12.35,2012
75,12,170001,38,73.34210526,19.88631579,2012
76,12,170013,34,25.20441176,14.61029412,2012
77,12,170023,13,55,12.80153846,2012
78,12,170123,64,247.9375,20.345,2012
79,12,170166,158,27.60759494,13.1314557,2012
80,12,180038,15,191.4473333,20.34,2012
81,12,180088,33,150.5048485,22.09848485,2012
82,12,190001,99,115.6284848,18.92727273,2012
83,12,190005,210,90,16.61980952,2012
84,12,190008,42,113.1666667,23.74285714,2012
85,12,190036,13,157.3846154,14.59769231,2012
86,12,190039,23,102.826087,21.44,2012
87,12,190098,78,93.95397436,22.87474359,2012
88,12,190160,1006,152,21.16732604,2012
89,12,190176,243,28.70641975,12.6982716,2012
90,12,200008,859,63.0719092,19.9636787,2012
91,12,200018,922,36.37635575,16.71394794,2012
92,12,200019,80,20.5375,13.244875,2012
93,12,200021,63,17.20634921,14.50730159,2012
94,12,200033,132,35.67424242,13.89825758,2012
95,12,200039,371,28.71625337,13.08921833,2012
96,12,200040,146,14.43835616,13.24486301,2012
97,12,200050,513,17.5,13.38988304,2012
98,12,200063,95,41.25157895,13.50610526,2012
99,12,220011,34,262.9411765,20.18205882,2012
100,12,220030,480,35.65833333,24.2615,2012
101,12,220031,1933,104.7865701,18.48367305,2012
102,12,220033,490,265.255102,23.26630612,2012
103,12,220036,220,66.74877273,32.08363636,2012
104,12,220046,11,49.05181818,22.33272727,2012
105,12,220058,17,158.9629412,16.38470588,2012
106,12,220071,2587,70.27251643,18.81054117,2012
107,12,220086,4430,118.5176072,18.25077652,2012
108,12,220110,7226,57.15859397,16.37574038,2012
109,12,220116,2120,241.045283,18.2399717,2012
110,12,220163,907,176.1505513,16.41825799,2012
111,12,220171,10736,358.4678651,17.66178744,2012
112,12,220175,12,179,30.66166667,2012
113,12,230019,11,39.68909091,16.08363636,2012
114,12,230036,12,79.5,22.10583333,2012
115,12,230041,11,53.02727273,13.99636364,2012
116,12,230046,2191,67.82166591,14.75505249,2012
117,12,230054,207,33.17391304,13.98671498,2012
118,12,230055,545,31.07889908,13.01686239,2012
119,12,230105,12,39.66666667,20.74,2012
120,12,230141,26,37.87692308,16.51461538,2012
121,12,230151,15,40.66666667,14.70333333,2012
122,12,230165,170,30.67735294,13.55805882,2012
123,12,230195,12,30.35,15.47666667,2012
124,12,230207,31,60.87096774,14.98580645,2012
125,12,230297,17,404,12.70117647,2012
126,12,240004,490,112.6196327,22.14595918,2012
127,12,240006,1443,20.11420651,14.68678448,2012
128,12,240018,91,48.82417582,14.12054945,2012
129,12,240019,4026,38.69100845,14.59645802,2012
130,12,240030,99,21.10585859,13.95252525,2012
131,12,240040,14,37.07857143,15.95142857,2012
132,12,240043,1449,55.02216011,12.96287785,2012
133,12,240044,119,24.06722689,15.29638655,2012
134,12,240052,372,31.30107527,13.99577957,2012
135,12,240061,497,54.96396378,13.94482897,2012
136,12,240064,157,31.30152866,15.14133758,2012
137,12,240075,553,56.6636528,21.31750452,2012
138,12,240078,27,114.962963,14.80962963,2012
139,12,240080,859,228.3422584,15.66669383,2012
140,12,240101,60,33.2475,15.79216667,2012
141,12,240106,16,53.875,28.5425,2012
142,12,240117,1842,62.06840391,13.40589577,2012
143,12,240166,269,70.48234201,16.98992565,2012
144,12,240210,53,183.050566,19.40075472,2012
145,12,250019,579,96.5611399,18.73967185,2012
146,12,250058,77,77.25,24.79285714,2012
147,12,260006,172,45.89534884,13.27156977,2012
148,12,260048,23,73.04347826,13.11521739,2012
149,12,260057,1233,33.96107056,13.11309002,2012
150,12,260081,87,132.0456322,12.78816092,2012
151,12,260094,268,65.91791045,17.22425373,2012
152,12,260102,337,70.89317507,13.38706231,2012
153,12,260141,7367,41.27921813,12.02842134,2012
154,12,260179,16,138.566875,24.760625,2012
155,12,260207,48,113.625,13.069375,2012
156,12,270004,4896,42.14665033,13.59365605,2012
157,12,270049,2653,18.99404448,13.52454203,2012
158,12,270057,104,20.94230769,14.53673077,2012
159,12,280009,12,142,24.2275,2012
160,12,280013,11,79.14636364,14.55636364,2012
161,12,280020,15,152,19.16533333,2012
162,12,280129,18,681.2222222,13.34444444,2012
163,12,290019,31,41.22580645,23.00677419,2012
164,12,300001,359,16.21448468,14.28284123,2012
165,12,300003,2012,116.4592545,15.7904672,2012
166,12,300005,74,23.79310811,17.15864865,2012
167,12,300012,77,178.7622078,14.61363636,2012
168,12,300018,149,51,27.5395302,2012
169,12,300019,1802,32.04019978,14.77975028,2012
170,12,310108,43,152.2790698,28.79093023,2012
171,12,320001,1555,108.6411576,13.5293119,2012
172,12,320013,29,66.5862069,14.68448276,2012
173,12,330005,69,100.39,26.72347826,2012
174,12,330014,53,151,29.9409434,2012
175,12,330058,1991,24.87066801,12.46673531,2012
176,12,330084,66,14.78787879,13.48757576,2012
177,12,330085,21,38.4952381,13.28095238,2012
178,12,330096,21,14,13.28857143,2012
179,12,330102,11,113.4909091,15.78909091,2012
180,12,330125,24,446.2816667,12.45,2012
181,12,330136,947,31.00527983,15.04648363,2012
182,12,330157,878,65.93,14.2508656,2012
183,12,330169,193,43,16.29284974,2012
184,12,330211,1462,38.90594391,13.22151163,2012
185,12,330214,42,54.12,19.58571429,2012
186,12,330219,48,39.97916667,23.666875,2012
187,12,330222,571,37.95621716,20.74031524,2012
188,12,330232,92,43.4673913,13.00108696,2012
189,12,330238,12,31.775,12.44416667,2012
190,12,330241,53,113.9056604,18.17075472,2012
191,12,330394,2158,20.05779889,13.52297034,2012
192,12,340002,1176,107.385,19.28704082,2012
193,12,340014,1570,38.87006369,12.87435669,2012
194,12,340016,110,21.775,13.29590909,2012
195,12,340017,33,34,13.03,2012
196,12,340023,5746,28.69162722,12.77333797,2012
197,12,340030,224,180.0669643,15.65941964,2012
198,12,340041,157,46.66878981,15.31299363,2012
199,12,340047,3872,47.97283833,12.27359762,2012
200,12,340060,16,152,18.120625,2012
201,12,340061,311,62.19935691,13.93951768,2012
202,12,340098,16,94.5625,17.64125,2012
203,12,340099,19,24.94736842,24.64736842,2012
204,12,340113,66,58.57075758,22.16590909,2012
205,12,350006,764,48.94633508,14.5576178,2012
206,12,350011,2444,29.70540098,13.73022913,2012
207,12,350015,233,33.29184549,14.61708155,2012
208,12,350019,3166,32.5874921,13.61311434,2012
209,12,350070,2735,30.11700183,13.62811335,2012
210,12,360003,21,83.67666667,12.9852381,2012
211,12,360010,11,114.4772727,12.45727273,2012
212,12,360048,216,263.5324074,13.74726852,2012
213,12,360059,1069,105.2507016,13.50713751,2012
214,12,360098,11,50.63636364,16.11636364,2012
215,12,360118,12,86.90666667,18.12,2012
216,12,360125,125,25.16,13.14032,2012
217,12,360147,188,29.15425532,12.5268617,2012
218,12,360180,1514,51.85733157,12.8347424,2012
219,12,370037,47,34.73361702,12.64489362,2012
220,12,370041,19,34.73684211,14.18789474,2012
221,12,370222,100,180,19.5871,2012
222,12,380009,7038,36.69488207,14.50160841,2012
223,12,380014,207,53.87439614,20.82227053,2012
224,12,380018,14,100.5885714,19.69785714,2012
225,12,380022,23,42.13043478,15.02869565,2012
226,12,380033,463,32.11663067,15.65045356,2012
227,12,380050,2297,37.24735742,14.78428385,2012
228,12,380052,15,31.46666667,16.35066667,2012
229,12,390001,31,91,12.29645161,2012
230,12,390006,2882,89.51283831,12.98381332,2012
231,12,390049,16,56.016875,21.2375,2012
232,12,390086,169,20.92899408,19.86029586,2012
233,12,390093,13,14.84153846,13.16153846,2012
234,12,390102,206,63.02723301,12.41,2012
235,12,390104,14,369.39,14.105,2012
236,12,390111,9711,36.17691278,14.10772114,2012
237,12,390113,26,167.6153846,14.18192308,2012
238,12,390164,414,79.5326087,12.40905797,2012
239,12,390168,197,307.8230964,12.43781726,2012
240,12,390223,75,36,14.10586667,2012
241,12,390231,14,250,28.18,2012
242,12,390256,3551,29.0233737,12.97542382,2012
243,12,390270,2288,88.63548951,12.47585664,2012
244,12,390321,906,44.06181015,15.49056291,2012
245,12,410001,51,318.8627451,16.88039216,2012
246,12,410007,13,135.1830769,15.98153846,2012
247,12,410011,13,145,29.7,2012
248,12,420004,2301,56,12.62266406,2012
249,12,420007,23,69.12608696,21.18695652,2012
250,12,420018,19,50.76842105,14.53526316,2012
251,12,420023,35,130.8428571,23.068,2012
252,12,420071,786,152.5900763,26.35143766,2012
253,12,420104,12,84,25.38,2012
254,12,430014,87,27.53517241,24.01816092,2012
255,12,430016,6143,33.32079766,13.55656682,2012
